"interaction","log_odds","name","selected","shared interaction","shared name"
"interacts with","1.59964482762809","Sch (interacts with) BPD","false","interacts with","Sch (interacts with) BPD"
"interacts with","1.56955092298558","PTSD (interacts with) Dem","false","interacts with","PTSD (interacts with) Dem"
"interacts with","1.55879145347542","DepO (interacts with) Per","false","interacts with","DepO (interacts with) Per"
"interacts with","1.50203698999994","DepO (interacts with) Sui","false","interacts with","DepO (interacts with) Sui"
"interacts with","1.45108346123792","DepO (interacts with) MDD","false","interacts with","DepO (interacts with) MDD"
"interacts with","1.40735379738169","Drg (interacts with) Sui","false","interacts with","Drg (interacts with) Sui"
"interacts with","1.32026912441213","Ch (interacts with) Dev","false","interacts with","Ch (interacts with) Dev"
"interacts with","1.29708751612859","Sch (interacts with) Sui","false","interacts with","Sch (interacts with) Sui"
"interacts with","1.11827505961122","Per (interacts with) Imp","false","interacts with","Per (interacts with) Imp"
"interacts with","1.08643659440406","DepO (interacts with) Dem","false","interacts with","DepO (interacts with) Dem"
"interacts with","1.07393769013245","PTSD (interacts with) Alc","false","interacts with","PTSD (interacts with) Alc"
"interacts with","1.02601385195994","Dev (interacts with) Dem","false","interacts with","Dev (interacts with) Dem"
"interacts with","1.0085886173723","DepO (interacts with) Adj","false","interacts with","DepO (interacts with) Adj"
"interacts with","0.972395166108989","ADHD (interacts with) Dev","false","interacts with","ADHD (interacts with) Dev"
"interacts with","0.944590295454603","DepO (interacts with) GAD","false","interacts with","DepO (interacts with) GAD"
"interacts with","0.806253884652801","GAD (interacts with) AnxO","false","interacts with","GAD (interacts with) AnxO"
