i,j,log_odds
Her,Ane,0.0909660098139276
Her,Ast,0.252191184625739
Her,Bil,0.710723051774099
Her,COPD,0.142074712318574
Her,CIj,0.320627041184379
Her,Dem,0.389375915773663
Her,Hea,0.113271829009888
Her,Vei,0.368961200156236
Her,Lip,0.111288986375813
Her,Jaw,0.113159365672804
Her,Ear,0.11274131618267
Her,Fr,0.100665463150308
Her,GIH,0.604370634352389
Her,HA,0.135779840542979
Her,HTN,0.0662874406141569
Her,TJ,0.237860171352287
Her,Liv,0.204734680323215
Her,LGI,0.626367301325884
Her,NTJ,0.167949644817917
Her,Gas,0.553971423851461
Her,GIO,0.66547987901056
Her,IjO,0.0840415202021896
Her,SkO,0.129100848329028
Her,URO,0.108834998594274
Her,Pan,0.243862078155851
Her,Per,0.186015162358354
Her,RIn,0.350817867637054
Her,SIn,0.107169620526947
Her,Bac,0.112043746949404
Her,Bac,0.112043746949404
Her,Spr,0.2093626319091
Her,SuIj,0.0911302340353517
Her,UGI,1.24640881789201
Her,Vir,0.137657109830592
Her,Drg,0.177093067921032
Her,BPD,0.193681280185652
Her,PTSD,0.218394348557051
Her,DepO,0.566455195640146
Her,Neo,0.0987473442797239
Her,Gen,0.170253984885914
Def,Bur,0.465003197211859
Def,CIj,0.639755145921048
Def,Dem,0.559470023140006
Def,Dev,0.154288846288173
Def,Jaw,0.211415872927813
Def,Ear,0.192978541079802
Def,Eye,0.15484150251279
Def,Fr,0.429361849845348
Def,HA,0.0705360518578156
Def,TJ,0.568477851317408
Def,Myc,0.527352167464351
Def,NTJ,0.795778010248096
Def,Wou,0.165458371290234
Def,Bone,0.753953181021865
Def,Con,1.07240110645339
Def,Con,1.07240110645339
Def,IjO,0.321244906658112
Def,NSO,0.24914163295449
Def,SkO,0.430315496333724
Def,URO,0.198763453960738
Def,Par,0.433021278292204
Def,Per,0.0872010144264555
Def,RIn,0.178937138721501
Def,SIn,0.116861961120808
Def,Bac,0.494502886091194
Def,Bac,0.494502886091194
Def,Spr,0.491784687440455
Def,SuIj,0.235229870583775
Def,Vir,0.134194530729433
Def,PTSD,0.234352687948029
Def,DepO,0.495289355117727
Def,Con,0.870268479114701
Def,Con,0.870268479114701
Adj,Her,0.0702003175414605
Adj,Def,0.138657178323005
Adj,Ast,0.100559931642439
Adj,Bur,0.359342113993149
Adj,COPD,0.0960371655250438
Adj,CIj,0.304376982004188
Adj,Dem,0.518498994356239
Adj,Dev,0.198193665783273
Adj,Art,0.0565539373765189
Adj,Hea,0.0661271039067941
Adj,Vei,0.0601997320512002
Adj,Jaw,0.157845837661786
Adj,Ear,0.122955834169626
Adj,Eye,0.0299131316810355
Adj,Fr,0.181454483520505
Adj,GIH,0.164172477143145
Adj,HA,0.0655659221752779
Adj,Imp,0.316586911813288
Adj,TJ,0.247662522263831
Adj,Myc,0.229262067517854
Adj,NTJ,0.186034278073309
Adj,Gas,0.315265680048424
Adj,Bone,0.0730226742199067
Adj,InO,0.150852881951608
Adj,IjO,0.176511058083539
Adj,SkO,0.148021411267101
Adj,URO,0.0365695083545946
Adj,Par,0.505814316828297
Adj,Per,0.35125935932114
Adj,Poi,0.14737241003788
Adj,RIn,0.331862049013417
Adj,SIn,0.213348775799334
Adj,Spi,0.439804157492414
Adj,Bac,0.158077246222313
Adj,Bac,0.158077246222313
Adj,Spr,0.270156930438525
Adj,Sui,0.196553999666472
Adj,SuIj,0.223575029145848
Adj,UGI,0.0438497213771554
Adj,Vir,0.202570961427418
Adj,Drg,0.240341171878005
Adj,DepO,1.0085886173723
Adj,AnxO,0.173898484243301
Adj,Gen,0.120008511437622
Ane,Her,0.168454258056268
Ane,Bac,0.603858059432323
Ane,Bac,0.603858059432323
Ane,Bil,0.341699857249741
Ane,Bur,0.314066104013783
Ane,NIn,0.75446598177003
Ane,CVD,0.155723984347985
Ane,COPD,0.15389244232671
Ane,Ulc,1.20800084057723
Ane,Coag,1.33253220164967
Ane,Coma,0.632183997316065
Ane,CIj,0.813780908133312
Ane,Dem,0.419085234191039
Ane,Art,0.239222788469974
Ane,Hea,0.308264309491671
Ane,Uri,0.329978605181542
Ane,Vei,0.375397131750763
Ane,WBC,1.027480322214
Ane,Lip,0.135945470396429
Ane,Ep,0.498273243840187
Ane,Ele,1.14935155221448
Ane,Fr,0.231684635544496
Ane,GIH,0.906682877869774
Ane,Gou,0.24134781260114
Ane,HTN,0.227935221152682
Ane,ArI,1.21216601466388
Ane,IIn,0.615357940198738
Ane,Liv,0.547039505868288
Ane,LGI,0.55313199618352
Ane,Myc,0.0758029221859799
Ane,Gas,0.546026357146191
Ane,Nut,0.469961041265726
Ane,Wou,0.255320190381723
Ane,End,0.101545656711775
Ane,GIO,0.355614078134531
Ane,HeO,1.04634787098248
Ane,InO,0.343599398881773
Ane,IjO,0.210809253461439
Ane,NuO,0.0495052450439833
Ane,Pan,1.24704101494647
Ane,Par,0.826939112157675
Ane,Per,0.366451783267702
Ane,Ple,1.18044858970733
Ane,Poi,0.573353583647654
Ane,RF,0.896840863646154
Ane,RIn,0.143954767234438
Ane,SIn,0.360692245698745
Ane,Spi,1.01470307620505
Ane,Sui,0.234373928796588
Ane,SuIj,0.123190201488653
Ane,Lup,0.562342235251878
Ane,Thy,0.170612648872133
Ane,UGI,0.33286478291559
Ane,Vir,0.276367074771501
Ane,Drg,0.508396870236331
Ane,Sch,0.564939626332968
Ane,BPD,0.179997341187525
Ane,DepO,0.519196438387642
Ane,DM,0.102596001454495
Ane,Neo,0.148491935213321
Ane,Gen,0.164761483643942
Ast,Bur,0.281068592931021
Ast,COPD,1.49882404494214
Ast,Dem,0.711620910897437
Ast,Dev,0.268338135634771
Ast,Hea,0.0993064984047898
Ast,Jaw,0.119835092121737
Ast,Ear,0.176288934938304
Ast,GIH,0.0783638892648591
Ast,HA,0.22026457179125
Ast,HTN,0.0673499866535395
Ast,TJ,0.180983010187278
Ast,Myc,0.0614541561503907
Ast,NTJ,0.0450768850572403
Ast,Gas,0.190138782254956
Ast,InO,0.413553685747203
Ast,IjO,0.175681793603279
Ast,LRO,1.31116400245793
Ast,URO,0.987664084163064
Ast,Per,0.25179816011248
Ast,Poi,0.231873879770441
Ast,RIn,0.723529360323701
Ast,Bac,0.0905909608201162
Ast,Bac,0.0905909608201162
Ast,Spr,0.203156026145029
Ast,UGI,0.426664818352581
Ast,Sch,0.23655983800749
Ast,BPD,0.246626068962576
Ast,PTSD,0.305147987800544
Ast,DepO,0.590637691829107
ADHD,Def,0.213615288580173
ADHD,Adj,0.164777573304582
ADHD,Ast,0.260273517157314
ADHD,Bur,0.384423859585501
ADHD,CIj,0.289458450803033
ADHD,Dem,0.932959118212139
ADHD,Dev,1.07854489350208
ADHD,Jaw,0.171869147734736
ADHD,Ch,0.825286400448555
ADHD,Ear,0.115267702159174
ADHD,Eye,0.116851855853778
ADHD,Fr,0.26436990622855
ADHD,GIH,0.13909090310513
ADHD,Imp,0.282678138666078
ADHD,TJ,0.280056706536472
ADHD,Myc,0.110938735959337
ADHD,NTJ,0.132595860712937
ADHD,Bone,0.0788734668969464
ADHD,End,0.155788025875857
ADHD,IjO,0.314418623550855
ADHD,SkO,0.173919521326701
ADHD,URO,0.152040540413885
ADHD,Per,0.245897849458695
ADHD,RIn,0.321099398508976
ADHD,SIn,0.134857891078213
ADHD,Bac,0.113728168615824
ADHD,Bac,0.113728168615824
ADHD,Spr,0.354679915205465
ADHD,SuIj,0.205827758030116
ADHD,UGI,0.0441086154219217
ADHD,Vir,0.296235228872858
ADHD,Drg,0.262365038366462
ADHD,BPD,0.650933629851209
ADHD,PTSD,0.460143840145904
ADHD,DepO,0.908478165069165
ADHD,AnxO,0.236767881534965
ADHD,GAD,0.223711020010064
ADHD,Gen,0.126900712651054
Bac,Her,0.18216753190767
Bac,Her,0.18216753190767
Bac,Ane,0.634187991451471
Bac,Ane,0.634187991451471
Bac,Bil,0.508047689328155
Bac,Bil,0.508047689328155
Bac,Bur,0.600834980475819
Bac,Bur,0.600834980475819
Bac,NIn,1.41396917197771
Bac,NIn,1.41396917197771
Bac,COPD,0.347498814772058
Bac,COPD,0.347498814772058
Bac,Ulc,1.73544426104922
Bac,Ulc,1.73544426104922
Bac,Coag,0.569573862936466
Bac,Coag,0.569573862936466
Bac,Coma,0.4560784613297
Bac,Coma,0.4560784613297
Bac,CIj,0.558051464596544
Bac,CIj,0.558051464596544
Bac,Dem,0.371543449201077
Bac,Dem,0.371543449201077
Bac,Dev,0.241471451958441
Bac,Dev,0.241471451958441
Bac,Art,0.0894923838239523
Bac,Art,0.0894923838239523
Bac,Mou,0.195505229117193
Bac,Mou,0.195505229117193
Bac,Hea,0.215704166062479
Bac,Hea,0.215704166062479
Bac,Uri,0.903540526689332
Bac,Uri,0.903540526689332
Bac,Vei,0.20984587826554
Bac,Vei,0.20984587826554
Bac,WBC,0.692375378433445
Bac,WBC,0.692375378433445
Bac,Jaw,0.195588350707845
Bac,Jaw,0.195588350707845
Bac,Ep,0.113160472715028
Bac,Ep,0.113160472715028
Bac,Ele,0.871681054087206
Bac,Ele,0.871681054087206
Bac,Fr,0.388978813594749
Bac,Fr,0.388978813594749
Bac,GIH,0.351048567421628
Bac,GIH,0.351048567421628
Bac,ArI,2.64467515988511
Bac,ArI,2.64467515988511
Bac,IIn,1.0729796887134
Bac,IIn,1.0729796887134
Bac,Liv,0.219122359170919
Bac,Liv,0.219122359170919
Bac,LGI,0.528275758455586
Bac,LGI,0.528275758455586
Bac,Myc,0.361321245414095
Bac,Myc,0.361321245414095
Bac,Gas,0.544639577421367
Bac,Gas,0.544639577421367
Bac,Wou,0.491654991727857
Bac,Wou,0.491654991727857
Bac,GIO,0.444235668244094
Bac,GIO,0.444235668244094
Bac,HeO,0.327950291567936
Bac,HeO,0.327950291567936
Bac,InO,0.823806053615267
Bac,InO,0.823806053615267
Bac,SInf,0.151576124806482
Bac,SInf,0.151576124806482
Bac,IjO,0.634722259002856
Bac,IjO,0.634722259002856
Bac,SkO,0.273623184325156
Bac,SkO,0.273623184325156
Bac,Pan,0.634806606731793
Bac,Pan,0.634806606731793
Bac,Par,1.21868141392338
Bac,Par,1.21868141392338
Bac,Per,0.390223409147177
Bac,Per,0.390223409147177
Bac,Ple,1.15247072325173
Bac,Ple,1.15247072325173
Bac,Poi,0.279938721454185
Bac,Poi,0.279938721454185
Bac,RF,1.34410626187529
Bac,RF,1.34410626187529
Bac,RIn,0.59061375759753
Bac,RIn,0.59061375759753
Bac,SIn,1.54943562352411
Bac,SIn,1.54943562352411
Bac,Spi,1.65996090231956
Bac,Spi,1.65996090231956
Bac,Spr,0.111688801049879
Bac,Spr,0.111688801049879
Bac,Sui,0.109532016641297
Bac,Sui,0.109532016641297
Bac,SuIj,0.370127300880069
Bac,SuIj,0.370127300880069
Bac,UGI,0.316457129195303
Bac,UGI,0.316457129195303
Bac,Vir,0.943113436797337
Bac,Vir,0.943113436797337
Bac,Drg,0.699641239514642
Bac,Drg,0.699641239514642
Bac,Sch,0.375597629020107
Bac,Sch,0.375597629020107
Bac,BPD,0.212181742615793
Bac,BPD,0.212181742615793
Bac,DepO,0.499983444592252
Bac,DepO,0.499983444592252
Bac,Neo,0.101951105448979
Bac,Neo,0.101951105448979
Bac,Gen,0.405037837758345
Bac,Gen,0.405037837758345
Bil,Her,0.56020184771835
Bil,Ane,0.162250909759272
Bil,Bac,0.182912850980623
Bil,Bac,0.182912850980623
Bil,Bur,0.355433182540941
Bil,CIj,0.564946054534873
Bil,Dem,0.393473409411545
Bil,Art,0.075108461198991
Bil,Hea,0.318178027993662
Bil,Uri,0.33574740018096
Bil,Vei,0.0964072438153538
Bil,WBC,0.298025254468162
Bil,Lip,0.165716854882869
Bil,Ele,0.36382073242627
Bil,GIH,0.335485683573336
Bil,HA,0.0959392882074321
Bil,HTN,0.196336280595952
Bil,TJ,0.112078872893821
Bil,Liv,1.39481625682324
Bil,LGI,0.493163261588044
Bil,Gas,0.626734339491048
Bil,GIO,0.574279711412123
Bil,HeO,0.358802903732509
Bil,InO,0.311304521907693
Bil,IjO,0.083779655422587
Bil,NuO,0.298797034056571
Bil,Pan,2.05859162790068
Bil,Par,0.330400279247521
Bil,Per,0.224415440519105
Bil,Ple,0.279723473613407
Bil,Poi,0.292756634535289
Bil,RIn,0.314933473381784
Bil,SIn,0.158247807873618
Bil,Spi,0.659649631530716
Bil,Bac,0.0573413237127626
Bil,Bac,0.0573413237127626
Bil,UGI,0.768807532253949
Bil,Vir,0.348769214191731
Bil,Drg,0.0978162313544604
Bil,BPD,0.124302208489536
Bil,PTSD,0.150253583600167
Bil,DepO,0.646368199030655
Bil,Gen,0.152233656523022
Bur,Def,0.157843603117041
Bur,Ast,0.182376225778588
Bur,COPD,0.40101880987736
Bur,Ulc,0.935701366743109
Bur,CIj,1.1687989543197
Bur,Dem,0.814879649753744
Bur,Jaw,0.265354037513507
Bur,Ear,0.278106808036968
Bur,Ep,0.256687464906266
Bur,Eye,0.273374182828261
Bur,Fr,0.616853374214968
Bur,GIH,0.191893834688865
Bur,ArI,0.607108562769878
Bur,TJ,0.236940208495112
Bur,Myc,0.268752151356506
Bur,Gas,0.419445328718851
Bur,Wou,0.825208066044815
Bur,Con,0.138040087809335
Bur,Con,0.138040087809335
Bur,IjO,0.50189285133574
Bur,NSO,0.135363997692508
Bur,SkO,0.31455726324372
Bur,Par,1.15893955874695
Bur,Per,0.567070597761007
Bur,Poi,0.668471628096821
Bur,RIn,0.578220877893671
Bur,SIn,0.587044748060803
Bur,Spi,1.39950518571815
Bur,Spr,0.402700799134369
