i,j,log_odds
Her,Ane,0.0909660098139276
Her,Ast,0.252191184625739
Her,Bil,0.710723051774099
Her,COPD,0.142074712318574
Her,CIj,0.320627041184379
Her,Hea,0.113271829009888
Her,Vei,0.368961200156236
Her,Lip,0.111288986375813
Her,Jaw,0.113159365672804
Her,Ear,0.11274131618267
Her,Fr,0.100665463150308
Her,GIH,0.604370634352389
Her,HA,0.135779840542979
Her,HTN,0.0662874406141569
Her,TJ,0.237860171352287
Her,Liv,0.204734680323215
Her,LGI,0.626367301325884
Her,NTJ,0.167949644817917
Her,Gas,0.553971423851461
Her,GIO,0.66547987901056
Her,IjO,0.0840415202021896
Her,SkO,0.129100848329028
Her,URO,0.108834998594274
Her,Pan,0.243862078155851
Her,RIn,0.350817867637054
Her,SIn,0.107169620526947
Her,Bac,0.112043746949404
Her,Bac,0.112043746949404
Her,Spr,0.2093626319091
Her,SuIj,0.0911302340353517
Her,UGI,1.24640881789201
Her,Vir,0.137657109830592
Her,Neo,0.0987473442797239
Her,Gen,0.170253984885914
Def,Bur,0.465003197211859
Def,CIj,0.639755145921048
Def,Jaw,0.211415872927813
Def,Ear,0.192978541079802
Def,Eye,0.15484150251279
Def,Fr,0.429361849845348
Def,HA,0.0705360518578156
Def,TJ,0.568477851317408
Def,Myc,0.527352167464351
Def,NTJ,0.795778010248096
Def,Wou,0.165458371290234
Def,Bone,0.753953181021865
Def,Con,1.07240110645339
Def,Con,1.07240110645339
Def,IjO,0.321244906658112
Def,NSO,0.24914163295449
Def,SkO,0.430315496333724
Def,URO,0.198763453960738
Def,Par,0.433021278292204
Def,RIn,0.178937138721501
Def,SIn,0.116861961120808
Def,Bac,0.494502886091194
Def,Bac,0.494502886091194
Def,Spr,0.491784687440455
Def,SuIj,0.235229870583775
Def,Vir,0.134194530729433
Def,Con,0.870268479114701
Def,Con,0.870268479114701
Ane,Her,0.168454258056268
Ane,Bac,0.603858059432323
Ane,Bac,0.603858059432323
Ane,Bil,0.341699857249741
Ane,Bur,0.314066104013783
Ane,NIn,0.75446598177003
Ane,CVD,0.155723984347985
Ane,COPD,0.15389244232671
Ane,Ulc,1.20800084057723
Ane,Coag,1.33253220164967
Ane,Coma,0.632183997316065
Ane,CIj,0.813780908133312
Ane,Art,0.239222788469974
Ane,Hea,0.308264309491671
Ane,Uri,0.329978605181542
Ane,Vei,0.375397131750763
Ane,WBC,1.027480322214
Ane,Lip,0.135945470396429
Ane,Ep,0.498273243840187
Ane,Ele,1.14935155221448
Ane,Fr,0.231684635544496
Ane,GIH,0.906682877869774
Ane,Gou,0.24134781260114
Ane,HTN,0.227935221152682
Ane,ArI,1.21216601466388
Ane,IIn,0.615357940198738
Ane,Liv,0.547039505868288
Ane,LGI,0.55313199618352
Ane,Myc,0.0758029221859799
Ane,Gas,0.546026357146191
Ane,Nut,0.469961041265726
Ane,Wou,0.255320190381723
Ane,End,0.101545656711775
Ane,GIO,0.355614078134531
Ane,HeO,1.04634787098248
Ane,InO,0.343599398881773
Ane,IjO,0.210809253461439
Ane,NuO,0.0495052450439833
Ane,Pan,1.24704101494647
Ane,Par,0.826939112157675
Ane,Ple,1.18044858970733
Ane,Poi,0.573353583647654
Ane,RF,0.896840863646154
Ane,RIn,0.143954767234438
Ane,SIn,0.360692245698745
Ane,Spi,1.01470307620505
Ane,SuIj,0.123190201488653
Ane,Lup,0.562342235251878
Ane,Thy,0.170612648872133
Ane,UGI,0.33286478291559
Ane,Vir,0.276367074771501
Ane,DM,0.102596001454495
Ane,Neo,0.148491935213321
Ane,Gen,0.164761483643942
Ast,Bur,0.281068592931021
Ast,COPD,1.49882404494214
Ast,Hea,0.0993064984047898
Ast,Jaw,0.119835092121737
Ast,Ear,0.176288934938304
Ast,GIH,0.0783638892648591
Ast,HA,0.22026457179125
Ast,HTN,0.0673499866535395
Ast,TJ,0.180983010187278
Ast,Myc,0.0614541561503907
Ast,NTJ,0.0450768850572403
Ast,Gas,0.190138782254956
Ast,InO,0.413553685747203
Ast,IjO,0.175681793603279
Ast,LRO,1.31116400245793
Ast,URO,0.987664084163064
Ast,Poi,0.231873879770441
Ast,RIn,0.723529360323701
Ast,Bac,0.0905909608201162
Ast,Bac,0.0905909608201162
Ast,Spr,0.203156026145029
Ast,UGI,0.426664818352581
Bac,Her,0.18216753190767
Bac,Her,0.18216753190767
Bac,Ane,0.634187991451471
Bac,Ane,0.634187991451471
Bac,Bil,0.508047689328155
Bac,Bil,0.508047689328155
Bac,Bur,0.600834980475819
Bac,Bur,0.600834980475819
Bac,NIn,1.41396917197771
Bac,NIn,1.41396917197771
Bac,COPD,0.347498814772058
Bac,COPD,0.347498814772058
Bac,Ulc,1.73544426104922
Bac,Ulc,1.73544426104922
Bac,Coag,0.569573862936466
Bac,Coag,0.569573862936466
Bac,Coma,0.4560784613297
Bac,Coma,0.4560784613297
Bac,CIj,0.558051464596544
Bac,CIj,0.558051464596544
Bac,Art,0.0894923838239523
Bac,Art,0.0894923838239523
Bac,Mou,0.195505229117193
Bac,Mou,0.195505229117193
Bac,Hea,0.215704166062479
Bac,Hea,0.215704166062479
Bac,Uri,0.903540526689332
Bac,Uri,0.903540526689332
Bac,Vei,0.20984587826554
Bac,Vei,0.20984587826554
Bac,WBC,0.692375378433445
Bac,WBC,0.692375378433445
Bac,Jaw,0.195588350707845
Bac,Jaw,0.195588350707845
Bac,Ep,0.113160472715028
Bac,Ep,0.113160472715028
Bac,Ele,0.871681054087206
Bac,Ele,0.871681054087206
Bac,Fr,0.388978813594749
Bac,Fr,0.388978813594749
Bac,GIH,0.351048567421628
Bac,GIH,0.351048567421628
Bac,ArI,2.64467515988511
Bac,ArI,2.64467515988511
Bac,IIn,1.0729796887134
Bac,IIn,1.0729796887134
Bac,Liv,0.219122359170919
Bac,Liv,0.219122359170919
Bac,LGI,0.528275758455586
Bac,LGI,0.528275758455586
Bac,Myc,0.361321245414095
Bac,Myc,0.361321245414095
Bac,Gas,0.544639577421367
Bac,Gas,0.544639577421367
Bac,Wou,0.491654991727857
Bac,Wou,0.491654991727857
Bac,GIO,0.444235668244094
Bac,GIO,0.444235668244094
Bac,HeO,0.327950291567936
Bac,HeO,0.327950291567936
Bac,InO,0.823806053615267
Bac,InO,0.823806053615267
Bac,SInf,0.151576124806482
Bac,SInf,0.151576124806482
Bac,IjO,0.634722259002856
Bac,IjO,0.634722259002856
Bac,SkO,0.273623184325156
Bac,SkO,0.273623184325156
Bac,Pan,0.634806606731793
Bac,Pan,0.634806606731793
Bac,Par,1.21868141392338
Bac,Par,1.21868141392338
Bac,Ple,1.15247072325173
Bac,Ple,1.15247072325173
Bac,Poi,0.279938721454185
Bac,Poi,0.279938721454185
Bac,RF,1.34410626187529
Bac,RF,1.34410626187529
Bac,RIn,0.59061375759753
Bac,RIn,0.59061375759753
Bac,SIn,1.54943562352411
Bac,SIn,1.54943562352411
Bac,Spi,1.65996090231956
Bac,Spi,1.65996090231956
Bac,Spr,0.111688801049879
Bac,Spr,0.111688801049879
Bac,SuIj,0.370127300880069
Bac,SuIj,0.370127300880069
Bac,UGI,0.316457129195303
Bac,UGI,0.316457129195303
Bac,Vir,0.943113436797337
Bac,Vir,0.943113436797337
Bac,Neo,0.101951105448979
Bac,Neo,0.101951105448979
Bac,Gen,0.405037837758345
Bac,Gen,0.405037837758345
Bil,Her,0.56020184771835
Bil,Ane,0.162250909759272
Bil,Bac,0.182912850980623
Bil,Bac,0.182912850980623
Bil,Bur,0.355433182540941
Bil,CIj,0.564946054534873
Bil,Art,0.075108461198991
Bil,Hea,0.318178027993662
Bil,Uri,0.33574740018096
Bil,Vei,0.0964072438153538
Bil,WBC,0.298025254468162
Bil,Lip,0.165716854882869
Bil,Ele,0.36382073242627
Bil,GIH,0.335485683573336
Bil,HA,0.0959392882074321
Bil,HTN,0.196336280595952
Bil,TJ,0.112078872893821
Bil,Liv,1.39481625682324
Bil,LGI,0.493163261588044
Bil,Gas,0.626734339491048
Bil,GIO,0.574279711412123
Bil,HeO,0.358802903732509
Bil,InO,0.311304521907693
Bil,IjO,0.083779655422587
Bil,NuO,0.298797034056571
Bil,Pan,2.05859162790068
Bil,Par,0.330400279247521
Bil,Ple,0.279723473613407
Bil,Poi,0.292756634535289
Bil,RIn,0.314933473381784
Bil,SIn,0.158247807873618
Bil,Spi,0.659649631530716
Bil,Bac,0.0573413237127626
Bil,Bac,0.0573413237127626
Bil,UGI,0.768807532253949
Bil,Vir,0.348769214191731
Bil,Gen,0.152233656523022
Bur,Def,0.157843603117041
Bur,Ast,0.182376225778588
Bur,COPD,0.40101880987736
Bur,Ulc,0.935701366743109
Bur,CIj,1.1687989543197
Bur,Jaw,0.265354037513507
Bur,Ear,0.278106808036968
Bur,Ep,0.256687464906266
Bur,Eye,0.273374182828261
Bur,Fr,0.616853374214968
Bur,GIH,0.191893834688865
Bur,ArI,0.607108562769878
Bur,TJ,0.236940208495112
Bur,Myc,0.268752151356506
Bur,Gas,0.419445328718851
Bur,Wou,0.825208066044815
Bur,Con,0.138040087809335
Bur,Con,0.138040087809335
Bur,IjO,0.50189285133574
Bur,NSO,0.135363997692508
Bur,SkO,0.31455726324372
Bur,Par,1.15893955874695
Bur,Poi,0.668471628096821
Bur,RIn,0.578220877893671
Bur,SIn,0.587044748060803
Bur,Spi,1.39950518571815
Bur,Spr,0.402700799134369
Bur,SuIj,0.920824999408704
Bur,Vir,0.247876359333159
NIn,Ane,0.283452782440434
NIn,Bac,1.23027352520002
NIn,Bac,1.23027352520002
NIn,CVD,1.00703473642486
NIn,Ulc,0.429285422563584
NIn,Uri,0.654535063870906
NIn,WBC,0.771653381521948
NIn,Ear,0.164276477871629
NIn,Ep,1.37139833327198
NIn,Eye,0.231933573472389
NIn,Ele,0.780753276755798
NIn,Fr,0.424370438462361
NIn,HA,0.954976056824874
NIn,NSC,0.731305536621247
NIn,ArI,2.03294741206914
NIn,BIj,0.214278057937542
NIn,Gas,0.379993581289705
NIn,GIO,0.396893912164583
NIn,InO,1.42965629441004
NIn,IjO,0.461903869111136
NIn,NSO,0.808058519357
NIn,Par,1.76101023493631
NIn,RIn,0.320841453378596
NIn,SIn,0.497594324430912
NIn,Spi,1.27404809010503
NIn,Lup,1.24032912083195
NIn,Vir,0.676416688789182
CVD,Bac,0.170289945615043
CVD,Bac,0.170289945615043
CVD,Bur,0.576357945744503
CVD,NIn,1.16760882913763
CVD,COPD,0.199806168622761
CVD,Ulc,0.481576276311841
CVD,Coag,0.223639090701644
CVD,Coma,1.13810589433704
CVD,CIj,1.10521590710978
CVD,Art,0.571981921631206
CVD,Hea,0.52200683642405
CVD,Uri,0.101555337766374
CVD,Lip,0.182851886722466
CVD,Jaw,0.0657817049534427
CVD,Ear,0.270377366112786
CVD,Ep,1.35208909359911
CVD,Eye,0.31123955671376
CVD,Fr,0.452615515801328
CVD,HA,0.667586266481117
CVD,NSC,0.26738178128343
CVD,HTN,0.535500533081993
CVD,BIj,0.891857770405523
CVD,GIO,0.161992819757611
CVD,IjO,0.366380397742369
CVD,NSO,0.648510873177921
CVD,Par,2.17704203457154
CVD,RIn,0.0699119082673368
CVD,Spi,0.65903170928533
CVD,Lup,0.648936304097547
CVD,Con,0.139901736896426
CVD,Con,0.139901736896426
COPD,Her,0.188954488884052
COPD,Ast,1.20648124923129
COPD,Bur,0.5284257564249
COPD,Art,0.0783151595990825
COPD,Hea,0.408410248426518
COPD,Lip,0.0452972865260549
COPD,Jaw,0.133617195959924
COPD,Ear,0.143138318735653
COPD,Fr,0.102948058211414
COPD,GIH,0.198130646508608
COPD,HA,0.140668365786816
COPD,HTN,0.113602992833572
COPD,TJ,0.138712640053978
COPD,Myc,0.118029478653215
COPD,NTJ,0.0677818855651789
COPD,Gas,0.402848723702069
COPD,GIO,0.0745916036758053
COPD,InO,0.491792792922586
COPD,IjO,0.192862038167242
COPD,LRO,1.32558973823958
COPD,SkO,0.0677188148366148
COPD,URO,0.346850157857346
COPD,Ple,0.613225389783332
COPD,Poi,0.25410360601362
COPD,RF,0.427928488481831
COPD,RIn,1.34073179266948
COPD,SIn,0.335235364524297
COPD,Bac,0.109241838924471
COPD,Bac,0.109241838924471
COPD,Spr,0.218410142310362
COPD,SuIj,0.345086417972757
COPD,UGI,0.32492731530923
COPD,Vir,0.211677409337004
Ulc,Def,0.380933030385368
Ulc,Ane,0.697496509969184
Ulc,Bac,1.36214737348242
Ulc,Bac,1.36214737348242
Ulc,Bur,1.75258702860411
Ulc,NIn,1.04964751453654
Ulc,CVD,0.80593584802989
Ulc,Coag,0.31293985361263
Ulc,Coma,1.46593408645663
Ulc,CIj,1.74056548085164
Ulc,Art,0.265444531280327
Ulc,Uri,1.07888473262583
Ulc,Vei,0.681579073897633
Ulc,Jaw,0.115702503253453
Ulc,Ep,0.586319279022305
Ulc,Ele,0.493893131420406
Ulc,Fr,1.19749770613808
Ulc,NSC,0.69220976390783
Ulc,ArI,2.41410707406807
Ulc,IIn,0.511323491116844
Ulc,BIj,0.341305087732201
Ulc,Myc,0.398673156174032
Ulc,Wou,1.56616336741175
Ulc,Con,0.376909108777499
Ulc,Con,0.376909108777499
Ulc,GIO,0.992887645683448
Ulc,InO,0.591758807741808
Ulc,IjO,0.610744593986908
Ulc,NSO,0.764563897769606
Ulc,SkO,0.369033514651905
Ulc,Par,3.39363725101026
Ulc,Ple,0.524471932884606
Ulc,RF,0.921424239594168
Ulc,SIn,1.78465564697021
Ulc,Spi,3.80799219204069
Ulc,SuIj,0.471283398974095
Ulc,DM,0.392300891206092
Coag,Ane,1.42041083519304
