i,j,log_odds
Adj,Dem,0.518498994356239
Adj,Dev,0.198193665783273
Adj,Imp,0.316586911813288
Adj,Per,0.35125935932114
Adj,Sui,0.196553999666472
Adj,Drg,0.240341171878005
Adj,DepO,1.0085886173723
Adj,AnxO,0.173898484243301
ADHD,Adj,0.164777573304582
ADHD,Dem,0.932959118212139
ADHD,Dev,1.07854489350208
ADHD,Ch,0.825286400448555
ADHD,Imp,0.282678138666078
ADHD,Per,0.245897849458695
ADHD,Drg,0.262365038366462
ADHD,BPD,0.650933629851209
ADHD,PTSD,0.460143840145904
ADHD,DepO,0.908478165069165
ADHD,AnxO,0.236767881534965
ADHD,GAD,0.223711020010064
Dem,Dev,1.02601385195994
Dem,Per,0.0923345097957746
Dem,Sch,0.400912737901061
Dem,BPD,0.1227825893342
Dem,PTSD,1.56955092298558
Dem,DepO,1.08643659440406
Dev,Adj,0.267585652089315
Dev,ADHD,0.972395166108989
Dev,Dem,1.88879143191203
Dev,Ch,1.32026912441213
Dev,Per,0.657640622223875
Dev,Sui,0.230993330224142
Dev,Drg,0.112674053739405
Dev,Sch,0.790254564529427
Dev,BPD,0.384633834717467
Dev,PTSD,0.638689783229721
Dev,DepO,0.990125571982452
Ch,ADHD,1.20119028224439
Ch,Dem,0.900232788909772
Ch,Dev,1.65567877529048
Ch,Per,0.944554901381724
Ch,Sui,0.206021777892085
Ch,Sch,1.00222026591535
Ch,BPD,0.577834393836539
Ch,PTSD,0.126177034953094
Ch,DepO,0.766527587225296
Ch,AnxO,0.27531177039313
Ch,GAD,0.225569861088112
Imp,Adj,0.36398106277741
Imp,ADHD,0.175785274613682
Imp,Dem,0.775585578842233
Imp,Dev,0.400844656014194
Imp,Per,1.11827505961122
Imp,Sui,1.01107337750093
Imp,Drg,0.874945547486161
Imp,Sch,0.741834982410088
Imp,BPD,0.905959044029561
Imp,PTSD,0.555465992372349
Imp,DepO,1.09746897321888
Per,Adj,0.407882918601913
Per,ADHD,0.256063282545345
Per,Dem,0.800783029063938
Per,Dev,0.437371428938513
Per,Ch,0.326511661445299
Per,Imp,1.03899842878387
Per,Sui,1.09763887011019
Per,Drg,1.17690662757162
Per,Sch,1.12697730897645
Per,MDD,0.181273971147265
Per,BPD,1.20047856085196
Per,PTSD,0.655472213342278
Per,DepO,1.55879145347542
Per,AnxO,0.132763427667782
Sui,Adj,0.243903493192366
Sui,Dem,0.649323794235418
Sui,Dev,0.180805173047977
Sui,Imp,0.897502571078885
Sui,Per,1.15664176980984
Sui,Alc,0.358152703550499
Sui,Drg,1.40735379738169
Sui,Sch,1.29708751612859
Sui,MDD,0.857835575193885
Sui,BPD,0.981321224773992
Sui,PTSD,1.07951842517336
Sui,DepO,1.50203698999994
Alc,Adj,0.126469475920979
Alc,Dem,0.30006283607049
Alc,Imp,0.276853516752077
Alc,Per,0.173116207609545
Alc,Sui,0.557966975889108
Alc,Drg,1.65891616353854
Alc,Sch,0.320400981910359
Alc,MDD,0.281898617752197
Alc,BPD,0.420246028536943
Alc,PTSD,1.07393769013245
Alc,DepO,0.767791387603978
Alc,AnxO,0.13324910171879
Drg,Adj,0.0955195731974724
Drg,ADHD,0.078590541858711
Drg,Dem,0.744372411833854
Drg,Imp,0.47379555682286
Drg,Per,0.693432718254178
Drg,Sui,0.879963841004905
Drg,Alc,0.853313086733361
Drg,Sch,1.15239018029386
Drg,BPD,1.01896815791687
Drg,PTSD,0.911475151067562
Drg,DepO,1.01723014956035
Drg,AnxO,0.122393344434257
Sch,Dem,1.03454746593321
Sch,Dev,0.460337207462605
Sch,Ch,0.655926052788472
Sch,Imp,0.356391046383916
Sch,Per,1.33552455379566
Sch,Sui,0.855423651440842
Sch,Drg,1.44742913001969
Sch,BPD,1.94630925683223
Sch,PTSD,0.263518875713035
Sch,DepO,1.03611654713731
MDD,Adj,0.243783204933506
MDD,Dem,0.383522307927808
MDD,Sui,0.515891379683198
MDD,Alc,0.10071513879544
MDD,Drg,0.134012959257147
MDD,PTSD,1.09728976843718
MDD,DepO,1.45108346123792
MDD,AnxO,0.428079606902219
MDD,GAD,0.437017218674577
BPD,ADHD,0.369613965557841
BPD,Dem,0.783124621764391
BPD,Dev,0.39670746259138
BPD,Imp,0.786787366576804
BPD,Per,1.04925129982904
BPD,Sui,0.590069587148205
BPD,Drg,1.09630684295094
BPD,Sch,1.59964482762809
BPD,PTSD,0.736302082025254
BPD,DepO,1.27862104123724
PTSD,Adj,0.397857342184931
PTSD,Dem,0.857591357402015
PTSD,Drg,0.421062652160618
PTSD,MDD,0.301265955026705
PTSD,BPD,0.185240251151323
PTSD,DepO,1.01663746610192
PTSD,AnxO,0.442440712089311
DepO,Adj,0.507939326958026
DepO,Dem,0.963771610203173
DepO,Dev,0.215519728854414
DepO,Imp,0.106169387676241
DepO,Per,0.297531503717206
DepO,Sui,0.282636478055414
DepO,Drg,0.560787458871312
DepO,BPD,0.053410175416882
DepO,PTSD,0.934348448754064
DepO,AnxO,0.440188113936535
AnxO,Adj,0.317012918415757
AnxO,ADHD,0.128090040454382
AnxO,Dem,0.352523006396546
AnxO,Ch,0.246328748896227
AnxO,Per,0.127594705102244
AnxO,Drg,0.287563068936559
AnxO,MDD,0.155551789689049
AnxO,BPD,0.0599955922458189
AnxO,PTSD,0.271070327313094
AnxO,DepO,1.07887169846761
AnxO,GAD,0.806253884652801
GAD,Adj,0.206095909088592
GAD,ADHD,0.239518446928731
GAD,Dem,0.239665026045657
GAD,MDD,0.39184709851928
GAD,PTSD,0.156169235673406
GAD,DepO,0.944590295454603
GAD,AnxO,1.08060253392846
