i,j,log_odds
BPD,Sch,1.59964482762809
Dem,PTSD,1.56955092298558
Per,DepO,1.55879145347542
Sui,DepO,1.50203698999994
MDD,DepO,1.45108346123792
Sui,Drg,1.40735379738169
Dev,Ch,1.32026912441213
Sui,Sch,1.29708751612859
Imp,Per,1.11827505961122
Dem,DepO,1.08643659440406
Alc,PTSD,1.07393769013245
Dem,Dev,1.02601385195994
Adj,DepO,1.0085886173723
Dev,ADHD,0.972395166108989
GAD,DepO,0.944590295454603
AnxO,GAD,0.806253884652801
Sch,BPD,1.94630925683223
Dev,Dem,1.88879143191203
Alc,Drg,1.65891616353854
Ch,Dev,1.65567877529048
Sch,Drg,1.44742913001969
Sch,Per,1.33552455379566
BPD,DepO,1.27862104123724
Ch,ADHD,1.20119028224439
Per,BPD,1.20047856085196
